gene,T.cells,memory.B.cells,naive.B.cells
CTA-390C10.10,17.611479743347306,15.182161825750804,13.493082965435654
CTA-445C9.15,22.544127251030393,21.266918037498012,24.719709481260846
CTAG1A,15.577535476704256,15.777530451944669,19.280503298005673
CTAG2,8.888908269569331,10.775309118565678,13.816758069534862
CTAGE1,13.417007460547358,9.141899538389984,8.622972436468904
CTAGE11P,6.506577749209342,10.829470198028824,7.332474972010598
CTAGE15,146.30012349066553,111.38358793987764,94.17946724414371
CTAGE4,106.27201640676185,102.5764927999353,77.75133632508339
CTAGE5,26.161838110379847,16.4192288601304,22.14089765293966
CTB-102L5.7,27.00357324107269,30.98075565808232,25.890338211588755
CTB-113P19.1,25.10221376990459,26.569618922343313,15.871445040610572
