,CYFZ,FY2H,FLWA,453W,684C,CZJE,925L,9JD4,G4YW,4DUY,36TS,CR3L
HEIH,21.42175032,36.22770392,35.28226058,36.57091997,37.87927223,22.90710468,31.46771748,34.70051782,42.498383,31.76034399,17.43711695,24.68253135
LINC00847,21.66591276,19.0596381,17.51815429,20.86430258,27.34794937,10.15868018,28.75721679,27.49283696,28.72855622,26.67131715,20.866895,13.78709413
ZFP62,20.66738183,21.89729629,17.9098775,8.12769755,27.70631153,20.23833536,14.09359553,21.55042213,12.06823604,28.39268591,14.71099908,19.21603086
BTNL8,1.488047585,2.784264577,2.255867232,2.301901069,2.236474206,1.152576177,1.745931045,0.341132624,2.124143331,3.447034807,4.276598446,7.002897883
BTNL9,3.52070156,1.244046955,5.070853378,3.290191944,2.348441694,1.664546271,7.864151021,1.638082085,4.22277345,1.847559158,3.93565048,1.9007005
TRIM7,0.678595305,1.779160849,2.343387928,3.706795455,0.914074805,1.100109774,7.422768469,3.373377328,1.85986518,5.097064393,1.532968834,3.083554542
TRIM41,1.929389873,4.597938692,4.279379394,5.462714289,6.854023778,4.016513602,2.531528926,2.685135654,3.133927078,3.615581679,4.495249797,2.773991687
RACK1,1603.526915,967.4113344,1069.257864,1110.79961,1305.761076,1799.39408,1763.514635,1920.870021,1899.283271,1703.22175,1841.45697,1306.787466
CTC-338M12.4,5.780442521,2.829997427,8.869124164,4.088020157,7.429803573,5.413220077,6.684189845,5.875566559,6.650212567,4.36356803,8.031845018,2.419441168
TRIM52,23.87551756,15.30648911,20.17168529,19.09866104,24.14438925,18.33399319,29.05227867,24.9109611,30.98605404,23.64066875,9.314176853,18.60725888
TRIM52-AS1,14.03388395,4.843674554,13.43415899,15.22162834,13.73750707,14.45983452,9.949171453,19.10485139,13.40495958,7.468436389,11.06717105,14.45564971
AC138035.2,2.644057668,10.20272136,4.931130808,7.296528203,3.599714173,2.332853744,9.121364581,4.569826805,6.157002171,2.284484834,7.720878393,9.415059503
RP3-416J7.4,0,0.294822461,0,0.444740858,0,0.214435991,0.204046817,0.088975929,0,0.185379697,0,0.198731075
DUSP22,61.24925583,62.36857358,54.12168819,40.51093078,41.04663428,60.67398491,79.31575137,60.82258713,61.4937136,67.64195434,84.62797462,43.94529965
IRF4,7.631269539,13.82051681,10.13096591,10.59831669,8.732738263,11.34071307,16.08808985,16.4725097,16.94617432,18.50295703,7.361468096,17.28749552
EXOC2,29.78003679,35.66642708,26.28995091,32.71710394,23.39215297,27.59513352,26.43798852,25.80187628,28.23822332,33.59812661,18.11320845,28.76557065
RP11-532F6.2,0.09291639,0,2.824953261,2.793647263,0,1.171177383,3.256154883,3.488408637,2.838593295,3.841585125,2.219282613,2.300550238
RP11-532F6.3,1.578462017,0.069256045,1.126394868,1.218614944,0.758763214,0.12094482,1.545481374,0.84634881,0.74239136,1.174433499,0.164897911,0.512998578
GMDS,43.24290904,16.895816,36.47928291,43.70077874,39.40738788,33.54788076,36.24598304,25.97650081,38.52704891,23.52309129,29.03352798,57.66763156
GMDS-AS1,20.77668568,11.52721566,9.013844593,19.16186873,14.55942148,19.88183101,23.53961416,17.29075972,17.42668702,15.29485216,9.760999338,17.8286451
MYLK4,0.066815641,0.338950635,0.588080525,0.485779498,0.335756464,0.056135643,0.133605565,0.116480776,0.074919871,0.424317157,0.382444778,0.043213316
WRNIP1,8.658710821,6.397829729,9.227185006,12.4050517,10.41224489,4.176884182,7.7626334,11.52653465,19.79559573,9.414239764,7.648508592,7.388523453
SERPINB1,174.6271504,192.9154625,157.9384952,184.9929333,161.1149359,230.0808504,176.7111702,179.7227688,197.6560164,181.4146583,241.8089172,148.3953261
SERPINB9P1,10.17769744,4.678368991,2.61469974,4.786816353,9.496056591,4.375336527,7.810617453,3.462400418,1.520375454,2.065072236,6.864026935,4.800729673
SERPINB9,100.3171897,124.7619352,103.5104492,111.4699939,87.21636654,59.20587852,77.31297055,68.90639455,75.87051469,56.99222039,64.53500773,91.90223991
SERPINB6,92.60652817,93.3051136,93.17829979,94.3004432,97.35365128,89.21047903,59.89732566,58.03515318,86.43339017,69.8850211,79.22658729,67.44258773
LINC01011,13.34457039,9.227791131,15.94285143,15.98022305,7.342623867,21.34878174,6.710772104,14.86108923,9.510616935,10.02757056,9.356019518,9.327904448
NQO2,43.61522418,35.48079963,67.46779627,72.38839988,83.6742852,102.4612789,56.02586184,61.42922489,24.60701244,75.65246863,39.76493667,58.25771364
RIPK1,13.18522785,9.92821181,26.35321404,8.865359501,12.16408333,11.36610221,11.95461634,16.46424407,16.51217296,17.68393514,11.56978797,10.790447
BPHL,12.1092431,9.920611825,15.91282148,13.70519791,7.801971555,18.41492304,14.71465659,13.98892281,12.05801434,5.643019375,10.17385737,13.6166789
TUBB2A,15.59968684,14.58755298,5.918970977,17.68919734,12.10104199,21.90310434,11.71997945,4.382440501,1.259906029,8.215085267,22.96635806,7.328926035
PSMG4,17.51604062,5.645382856,15.5347115,15.82679485,11.50405498,10.48876604,13.96082895,13.11631169,9.502424027,12.02252815,5.083067225,12.70905552
SLC22A23,0.596954737,1.426232405,0.6879746,1.922992799,1.167716555,0.293161335,1.188744906,1.937607556,1.247667991,1.539980055,0.274576955,1.528941024
PXDC1,0.566736108,1.366425893,0.067344456,0.687263006,0.136252429,0.834378245,0.756167276,0.989939969,0.827932223,0.536893388,0.065096831,1.383452329
FAM50B,5.445293211,5.600725289,8.066517126,2.543439462,5.226796714,2.154957791,11.43910748,13.03528136,6.794024194,9.837668955,3.593856138,3.364940527
RP1-140K8.5,0.42455153,0.541827421,0.540285583,0.400771119,0.400103117,0.243657727,0.537545888,0.33802274,0.228017996,0.215206524,0.233761214,0.362938768
RP3-406P24.5,1.015953499,1.721834024,2.286490421,0.873889316,0.624457957,1.466238524,3.083824594,1.503945486,2.675269125,3.67713837,0.971360103,0.927728857
PRPF4B,44.56896831,58.68267273,54.68800414,65.27460778,55.69053897,48.92364992,40.7056642,42.62953912,37.56669974,44.92023628,33.35395826,36.4165126
ECI2,41.36928761,32.44021463,44.53342133,40.72793006,41.20996979,35.88760889,33.75593074,42.15313403,39.05294463,44.40044986,24.94783338,21.28589203
CDYL,4.995198273,4.40534497,10.24573989,7.133654373,7.143814302,6.557484294,3.960537488,8.79247512,4.128639081,3.769481697,5.484611787,7.253989447
RPP40,8.442503473,11.75999531,11.38439624,8.179636349,13.47648363,10.13232564,8.970528513,8.684555445,12.40697092,5.372707846,6.665502814,6.845709297
PPP1R3G,0.055733244,0.259662291,0.183889974,0.662807485,0.557123525,0.306943289,0.491496448,0.236716634,0.390350967,0.12388307,0.132801534,0.135200256
LYRM4,21.39273869,19.42449731,23.06069918,16.1411713,18.11617024,15.53689641,26.80877369,19.56600806,20.94100052,13.97776575,21.38756219,25.9331171
FARS2,20.72173073,16.52894066,25.041368,20.11227027,25.01064676,29.42461007,22.17362428,20.5752375,17.21074845,26.45476158,24.38768109,25.72393557
F13A1,125.7347179,345.2192177,193.2281829,114.4547071,122.853941,153.9131987,260.3303614,195.3758638,84.36142582,144.4928417,216.9277059,284.7026418
LY86-AS1,3.28771386,1.202006856,4.495700365,1.596737176,1.370185851,1.776919582,3.782689425,1.799489089,2.572625175,0.844354805,2.671037335,8.77661969
LY86,67.85308955,98.80103181,79.81413234,61.96071207,66.37455205,107.3404852,113.3495919,71.45636431,121.8306679,42.04582957,87.01074282,99.24574568
RREB1,5.801843665,5.048238745,5.842392898,5.126690779,5.23358202,11.82977001,13.46769717,9.858214475,9.121450093,6.021670095,10.39413177,12.54896236
SSR1,153.0434075,204.8664214,168.7468653,202.4924286,209.9672388,174.0052897,148.9316281,126.5781502,144.7129325,147.0024754,137.4706483,177.1300381
RIOK1,31.80355864,28.84847861,43.1127935,24.57865567,44.98131077,36.48551621,31.680082,20.81095839,22.65011536,30.50160498,20.63394365,43.62188491
DSP,0.410958973,1.086677519,2.235451502,0.320563853,0.023510338,0.793585352,0.361343223,0,0.200011667,0.966258015,0.586322929,1.243538224
