,Lin-_1,Lin-_2,MNC_1,MNC_2
200024_at,16772.92021,16430.43281,11242.33112,9932.172819
200025_s_at,18009.82705,17513.41248,18894.04202,17692.87104
200026_at,18155.15265,17424.37252,16223.79154,14182.13386
200027_at,2723.006234,2574.568868,2573.584884,2073.559102
200028_s_at,8510.458831,8010.073893,6430.1298,5593.021494
200029_at,23924.88697,23203.01248,20945.52881,20682.24708
200030_s_at,9187.073083,9130.150483,6035.45164,5400.945804
200031_s_at,26050.88526,24153.56586,22780.00229,21650.59823
200032_s_at,16809.56581,16088.08478,15050.36983,14647.08383
200033_at,10060.64638,9821.433619,12247.14065,10965.3436
200034_s_at,19466.14077,19042.18122,17054.22629,16196.68618
200035_at,703.5240069,730.617551,700.229426,700.7968664
200036_s_at,16802.83411,16300.7741,11292.90754,10176.37484
200037_s_at,3507.629226,3368.596766,2236.694513,1890.282218
200038_s_at,26286.04462,26338.55116,24850.11529,23903.04238
200039_s_at,2336.005089,2201.990855,1105.489092,1102.225826
200040_at,7352.968539,6775.438172,4287.042637,3886.255931
200041_s_at,13220.6202,12743.96848,10282.11171,9185.745474
200042_at,1995.453099,1861.198,914.3744787,935.0946988
200043_at,1545.251319,1630.264229,1122.769397,1084.063427
200044_at,3853.798775,3775.783475,3217.452843,2770.871478
200045_at,908.9063768,942.6904986,644.1616622,640.4189117
200046_at,2699.166097,2392.829586,1815.015156,1608.823552
200047_s_at,3031.697298,2709.545754,3056.134959,2439.336537
200048_s_at,2669.067801,2423.991708,2573.810177,2349.091926
200049_at,810.3341865,867.6183667,683.1281916,647.8441574
200050_at,1634.097562,1594.597892,995.6065574,846.0921403
200051_at,1140.881604,1020.403606,1012.580979,938.0678795
200052_s_at,3860.39938,3618.063631,1305.498245,1203.545304
200053_at,1010.205621,916.0264236,638.1460111,624.6087274
200054_at,722.999888,793.593503,503.0301973,431.6978925
200055_at,1935.581437,1995.060479,2515.375165,2231.866769
200056_s_at,313.2684277,335.0700335,459.9569665,424.3762405
200057_s_at,8883.804716,8037.238605,6224.054163,5109.689954
200058_s_at,2506.070473,2375.036945,1650.459571,1502.661659
200059_s_at,4332.961269,4155.14874,6205.587196,5530.368608
200060_s_at,2446.508052,2273.194207,1355.243486,1200.238531
200061_s_at,18167.26163,16883.11902,14183.10598,13494.39516
200062_s_at,23883.47806,23253.52119,23100.60506,22457.15436
200063_s_at,15783.45894,14557.44992,10914.56891,9832.010944
200064_at,12807.71664,12782.64608,4228.802259,3664.678025
200065_s_at,4096.406743,4096.521448,5304.511377,4524.717845
200066_at,3625.547245,3255.254312,3090.818483,2870.494463
200067_x_at,2805.711299,2523.442519,4508.433231,3531.604225
200068_s_at,8191.080826,7467.784148,6279.970573,5508.539203
200069_at,575.5251748,509.1593373,411.4692958,415.7203276
200070_at,1356.517478,1319.169775,2414.164297,1936.739676
200071_at,1897.678936,1795.249378,2189.276506,1895.143788
200072_s_at,2237.772346,1982.318312,1055.111827,1110.917389
200073_s_at,4083.179603,3621.819107,3434.152121,2869.182295
200074_s_at,17570.77845,16596.1877,12991.07701,12187.72908
200075_s_at,1398.360433,1298.701124,2266.043519,2136.495034
